course_id,prereq_id
BUSI592,BUSI408
BUSI592,BUSI601
BUSI592,BUSI603
BUSI597,BUSI408
BUSI598,BUSI408
BUSI598,BUSI580
BUSI598,BUSI588
BUSI600,BUSI408
BUSI601,BUSI408
BUSI603,BUSI408
BUSI604,BUSI408
BUSI605,BUSI601
BUSI605,BUSI603
BUSI605,BUSI604
BUSI606,BUSI408
BUSI607,BUSI408
BUSI617,BUSI406
BUSI618,BUSI408
BUSI688,BUSI408
BUSI688,BUSI588
BUSI692H,BUSI691H
BUSI704,BUSI701
BUSI704,BUSI702
BUSI704,BUSI703
BUSI831,BUSI830
BUSI832,BUSI830
BUSI861,BUSI860
BUSI881,BUSI880
BUSI891,BUSI890
BUSI892,BUSI890
BUSI892,BUSI891
CBPH791,BIOL474
CBPH791,474L
CBPH793,CBIO607
CBPH793,CBPH791
CBMC804A,CHEM466
CBMC804A,CHEM601
CBMC805,MATH231
CBMC805,MATH232
CBMC805,CHEM481
CBMC807,CHEM262
CHEM100,MATH110
CHEM101,MATH110
CHEM102,CHEM101
CHEM102,101L
CHEM102,CHEM101
CHEM102L,CHEM101L
CHEM200,MATH110
CHEM241,CHEM102
CHEM241,102H
CHEM241L,CHEM102L
CHEM245L,CHEM102L
CHEM251,CHEM102
CHEM251,102H
CHEM261,CHEM102
CHEM261,102H
CHEM262,CHEM261
CHEM262,261H
CHEM262L,CHEM102L
CHEM262L,CHEM241L
CHEM262L,245L
CHEM291,CHEM102
CHEM291,102H
CHEM291,MATH231
CHEM291,EDUC150
CHEM295,CHEM101
CHEM410,CHEM241
CHEM410,CHEM251
CHEM410,CHEM262
CHEM410,262L
CHEM420,CHEM261
CHEM420,261H
CHEM421,CHEM251
CHEM421,CHEM262
CHEM421,262H
CHEM422,CHEM420
CHEM422,CHEM481
CHEM423,CHEM422
CHEM425,CHEM421
CHEM425,CHEM422
CHEM430,BIOL101
CHEM430,CHEM262
CHEM430,262H
CHEM431,CHEM430
CHEM431,BIOL103
CHEM431,BIOL202
CHEM432,CHEM430
CHEM441,CHEM241
CHEM441,241L
CHEM441,262
CHEM441,480
CHEM441,481
CHEM443,CHEM441
CHEM443,CHEM481
CHEM444,CHEM441
CHEM444,CHEM480
CHEM444,CHEM481
CHEM445,CHEM480
CHEM445,CHEM481
CHEM445,CHEM441
CHEM446,CHEM441
CHEM446,CHEM482
CHEM447,CHEM441
CHEM448,CHEM480
CHEM448,CHEM481
CHEM448,CHEM441
CHEM449,CHEM441
CHEM450,CHEM251
CHEM451,CHEM262
CHEM451,262H
CHEM451,450
CHEM452,CHEM451
CHEM453,CHEM465
CHEM460,CHEM262
CHEM460,262H
CHEM463,CHEM262
CHEM463,CHEM430
CHEM465,CHEM450
CHEM466,CHEM460
CHEM467,CHEM466
CHEM468,CHEM466
CHEM469,CHEM450
CHEM469,CHEM466
CHEM470,CHEM482
CHEM470,PHYS128
CHEM472,CHEM482
CHEM472,CHEM119
CHEM473,CHEM470
CHEM480,CHEM261
CHEM480,261H
CHEM480,MATH232
CHEM480,MATH115
